occ1990,naics2,sh_change,sh_top12015,sh_top11980,top11980,top12015,sh_change_inc,over_inc,sh_change_pop,agg_inc1970,agg_inc1980,agg_inc1990,agg_inc2000,agg_inc2015,change,change_inc,change_pop,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,inctot1970,inctot1980,inctot1990,inctot2000,inctot2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,pop1970,pop1980,pop1990,pop2000,pop2015,sh_top11970,sh_top11990,sh_top12000,top11970,top11990,top12000,us_change,us_change_inc,us_change_pop,us_inc1970,us_inc1980,us_inc1990,us_inc2000,us_inc2015,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,us_pop1970,us_pop1980,us_pop1990,us_pop2000,us_pop2015,xsh_top1,xsh_top1_90
"Textile cutting machine operators","21",,,0,0,,,,,,603200,,,,,,,,.32814,,,,,30160,,,,,0,,,,,20,,,,,,,,,,,,,,1.28e+12,,,,,928580,,,,,9.33e+07,,,,,
"Rollers, roll hands, and finishers of metal","62",,,,,,,,,,,83952,,,,,,,,-.8325571,,,,,7632,,,,,0,,,,,11,,,,0,,,0,,,,,,,2.74e+12,,,,,1112210,,,,,1.11e+08,,,,
"Batch food makers","62",,,,,,,,,,,856474,1063400,,,,,,,-.2153321,.1892237,,,,8479.940594,16112.12121,,,,0,0,,,,101,66,,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,,,,1112210,1287406,,,,1.11e+08,1.24e+08,,,
"Engravers","52",,,0,0,,,,,,141300,740984,0,,,,,,-.3442456,-.7372137,,,,7065,17232.18605,0,,,0,0,0,,,20,43,13,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Washing, cleaning, and pickling machine operators","23",,,,,,,,,,,168000,1.01e+07,,,,,,,.1551837,-.4861306,,,,7000,24538.63415,,,,0,0,,,,24,410,,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,,,,1112210,1287406,,,,1.11e+08,1.24e+08,,,
"Crushing and grinding machine operators","21",,,0,0,,,,,,9.96e+07,1.16e+08,,,,,,,.1923448,.2443357,,,,15329.09231,25703.84702,,,,0,0,,,,6500,4530,,,,0,,,0,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Photographers","21",,,0,0,,,,,1700000,2132100,3019125,1528600,,,,,-.325431,-.2635956,.388546,-.3086428,,8500,13325.625,31449.21875,39194.87179,,0,0,0,0,,200,160,96,39,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Kitchen workers","11",,,0,0,,,,,125000,575900,1283596,2037900,,,,,-1.661153,-.463067,-.4760937,.1843412,,625,7198.75,7972.645963,19408.57143,,0,0,0,0,,200,80,161,105,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Cost and rate clerks (financial records processing)","61",,,0,0,,,,,,3.38e+07,5.74e+07,,,,,,,-.0435862,-.0436932,,,,13746.30081,27689.86445,,,,0,3,,,,2460,2073,,,,2.70e-06,,,.0014472,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Archivists and curators","52",,,.0000215,.0833333,,,,,,5747700,1.38e+07,8820840,,,,,,.4131042,.1704727,.0458425,,,23948.75,32762.04524,28181.59744,,,20,0,0,,,240,420,313,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Petroleum, mining, and geological engineers","61",,,,,,,,,,,1027074,2922460,,,,,,,-.2293174,.23347,,,,19019.88889,64943.55556,,,,0,0,,,,54,45,,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,,,,1112210,1287406,,,,1.11e+08,1.24e+08,,,
"Sales engineers","61",,,0,0,,,,,,327300,,,,,,,,-.3048227,,,,,16365,,,,,0,,,,,20,,,,,,,,,,,,,,1.28e+12,,,,,928580,,,,,9.33e+07,,,,,
"Announcers","52",,0,,,0,,,,,,379170,1180400,1.02e+07,,,,,,-1.000424,.2211864,.3201243,,,8617.5,45400,51031.65829,,,0,0,0,,,44,26,199,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,7.27e+12,,,1112210,1287406,1209075,,,1.11e+08,1.24e+08,1.42e+08,,0
"Welfare service aides","21",,0,,,0,,,,,,,,552500,,,,,,,,-.1625897,,,,,22100,,,,,0,,,,,25,,,,,,,,,,,,,,7.27e+12,,,,,1209075,,,,,1.42e+08,,
"Economics instructors","71",,,0,0,,,,,,298300,,,,,,,,-.2879531,,,,,7457.5,,,,,0,,,,,40,,,,,,,,,,,,,,1.28e+12,,,,,928580,,,,,9.33e+07,,,,,
"Dietitians and nutritionists","51",,,,,,,,,,,,2541800,,,,,,,,-.0814,,,,,42363.33333,,,,,0,,,,,60,,,,0,,,0,,,,,,,4.59e+12,,,,,1287406,,,,,1.24e+08,,,
"Drilling and boring machine operators","71",,,,,,,,,,,506250,512000,,,,,,,-.1553803,-.1184301,,,,20250,32000,,,,0,0,,,,25,16,,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,,,,1112210,1287406,,,,1.11e+08,1.24e+08,,,
"Managers of horticultural specialty farms","11",,,.0001723,.0117647,,,,,,1.50e+08,1.80e+08,,,,,,,-.2963508,-.1752751,,,,11007.60294,21018.16248,,,,160,72,,,,13600,8567,,,,.0000647,,,.0084043,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Recreation facility attendants","23",,,0,0,,,,,,2628900,9843572,2497700,,,,,,-.2510485,-.2612782,-.5878132,,,10953.75,16031.87622,15137.57576,,,0,0,0,,,240,614,165,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Molders, and casting machine operators","53",,,,,,,,,,,,624000,,,,,,,,.1852354,,,,,26000,,,,,0,,,,,24,,,,0,,,0,,,,,,,4.59e+12,,,,,1287406,,,,,1.24e+08,,,
"Misc food prep workers","21",,,0,0,,,,,,2190100,3804394,1045100,,,,,,.0445885,.44782,-.5656773,,,10950.5,29955.85827,11876.13636,,,0,0,0,,,200,127,88,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Typesetters and compositors","72",,0,,,0,,,,,,970000,2259160,429300,,,,,,.3545928,-.0765604,-.5315931,,,38800,19145.42373,15900,,,0,0,0,,,25,118,27,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,7.27e+12,,,1112210,1287406,1209075,,,1.11e+08,1.24e+08,1.42e+08,,0
"Bartenders","11",,,0,0,,,,,,659500,939000,156000,,,,,,1.160375,-.8069481,-1.997136,,,10991.66667,8536.363636,3714.285714,,,0,0,0,,,60,110,42,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Helpers, constructions","51",,,0,0,,,,,,270100,2812700,3169000,,,,,,.0310336,.6644294,.0701102,,,13505,38009.45946,26630.2521,,,0,0,0,,,20,74,119,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Baggage porters","11",,,,,,,,,,,213984,292500,,,,,,,-.4471569,-.2612596,,,,11888,7500,,,,0,0,,,,18,39,,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,,,,1112210,1287406,,,,1.11e+08,1.24e+08,,,
"Information clerks, nec","23",,,0,0,,,,,,1.12e+07,4.09e+07,,,,,,,-.4513257,-.4253758,,,,6152.527473,11256.16722,,,,0,18,,,,1820,3630,,,,.0000162,,,.0049587,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Printing machine operators, n.e.c.","23",,,0,0,,,,,8360000,7911200,1.73e+07,1.49e+07,,,,,-.0252322,.0681643,-.0670963,.1134048,,8360,13185.33333,19984.56336,33049.55556,,0,0,0,0,,1000,600,868,450,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Managers of food-serving and lodging establishments","56",,0,,,0,,,,1405000,,2.84e+07,1.08e+07,1.44e+07,,,,.967639,,-.0253013,-.011824,.1396702,14050,,22783.95269,34935.37217,35794.04467,0,,0,0,0,100,,1247,309,403,0,0,0,0,0,0,,,,5.14e+11,,2.74e+12,4.59e+12,7.27e+12,730600,,1112210,1287406,1209075,7.32e+07,,1.11e+08,1.24e+08,1.42e+08,,0
"Baggage porters","22",,,0,0,,,,,,791300,,,,,,,,.6367756,,,,,19782.5,,,,,0,,,,,40,,,,,,,,,,,,,,1.28e+12,,,,,928580,,,,,9.33e+07,,,,,
"Mixing and blending machine operatives","22",,,0,0,,,,,1345000,2400000,3980968,1787100,,,,,.653017,.1910361,-.1118727,-.0988678,,13450,15000,26898.43243,23514.47368,,0,0,0,0,,100,160,148,76,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Furniture and wood finishers","11",,,0,0,,,,,,242800,330774,0,,,,,,-.1402483,-.838299,,,,6070,8939.837838,0,,,0,0,0,,,40,37,6,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Other health and therapy","21",,,,,,,,,,,107100,,,,,,,,-.0360579,,,,,15300,,,,,0,,,,,7,,,,0,,,0,,,,,,,2.74e+12,,,,,1112210,,,,,1.11e+08,,,,
"Other law enforcement: sheriffs, bailiffs, correctional institution officers","42",,,,,,,,,,,,1980000,,,,,,,,.7322176,,,,,66000,,,,,0,,,,,30,,,,0,,,0,,,,,,,4.59e+12,,,,,1287406,,,,,1.24e+08,,,
"Millwrights","72",,,0,0,,,,,1225000,187600,421420,56700,,,,,.3453272,-.254907,-.2480304,-2.456439,,12250,9380,21071,2700,,0,0,0,0,,100,20,20,21,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Nursery farming workers","53",,,0,0,,,,,,0,725945,,,,,,,,-.4315088,,,,0,16882.44186,,,,0,0,,,,20,43,,,,0,,,0,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Roofers and slaters","48-49",,,0,0,,,,,,420200,2078880,1126800,,,,,,.2081024,.5779475,.3795185,,,10505,31982.76923,33141.17647,,,0,0,0,,,40,65,34,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Motion picture projectionists","62",,,0,0,,,,,655000,644700,,420000,,,,,-.0305911,-.2182555,,-.8078128,,6550,10745,,20000,,0,0,,0,,100,60,,21,,0,,0,0,,0,,,,5.14e+11,1.28e+12,,4.59e+12,,730600,928580,,1287406,,7.32e+07,9.33e+07,,1.24e+08,,,
"Locomotive operators (engineers and firemen)","62",,,0,0,,,,,,88200,644914,288000,,,,,,-1.434052,.3426828,.3687628,,,2205,28039.73913,32000,,,0,0,0,,,40,23,9,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Statisticians","53",,,0,0,,,,,1205000,1776700,2991824,,,,,,.2751613,.1603127,.1309257,,,12050,14805.83333,24127.6129,,,0,0,0,,,100,120,124,,,0,0,,0,0,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Sociology instructors","52",,,0,0,,,,,,426500,,,,,,,,.9207622,,,,,21325,,,,,0,,,,,20,,,,,,,,,,,,,,1.28e+12,,,,,928580,,,,,9.33e+07,,,,,
"Hand painting, coating, and decorating occupations","31-33",,,.0000215,.0012225,,,,,1.33e+07,1.90e+08,3.21e+08,,,,,,-.0319002,.0636952,-.1260629,,,7002.631579,11587.38998,16165.08415,,,0,20,18,,,1900,16360,19880,,,0,.0000162,,0,.0009054,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Duplication machine operators / office machine operators","62",,,.0000215,.0263158,,,,,3435000,9252400,1.66e+07,,,,,,.3869238,.0662957,-.1131908,,,4907.142857,12174.21053,19331.13186,,,0,20,27,,,700,760,857,,,0,.0000243,,0,.0315052,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Auto body repairers","62",,,0,0,,,,,85000,25800,8189468,5595000,,,,,-1.980806,-2.119055,.6929221,.2499027,,850,645,48458.39053,29603.1746,,0,0,0,0,,100,40,169,189,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Furnace, kiln, and oven operators, apart from food","53",,,0,0,,,,,7650000,1.44e+07,1.17e+07,241500,,,,,.0805201,-.122096,.1833262,-1.357064,,7650,14431.5,27503.31604,10500,,0,0,0,0,,1000,1000,424,23,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Washing, cleaning, and pickling machine operators","62",,,0,0,,,,,,2001600,2056792,2934800,,,,,,-.2007115,-.4851166,.0092183,,,8340,14087.61644,15694.11765,,,0,0,0,,,240,146,187,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Chemical engineers","61",,,0,0,,,,,3335000,4014000,7287166,1.36e+07,,,,,-1.37172,-.4362628,-.061995,-.7807719,,11116.66667,10563.15789,34536.33175,23656.63176,,0,0,0,0,,300,380,211,573,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Teacher's aides","54",,,0,0,,,,,,1402200,1.39e+07,,,,,,,-1.238185,-.6770964,,,,4381.875,11801.83729,,,,0,0,,,,320,1180,,,,0,,,0,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Technicians, n.e.c.","48-49",,,0,0,,,,,1.24e+07,7.52e+07,2.28e+08,,,,,,.2307832,.2525152,.2616899,,,10316.66667,19790.97368,30847.38477,,,0,0,0,,,1200,3800,7407,,,0,0,,0,0,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Paper folding machine operators","92",,,0,0,,,,,,142200,117600,250800,,,,,,-.9393684,-.3555024,-.8772203,,,3555,9800,13200,,,0,0,0,,,40,12,19,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Butchers and meat cutters","52",,,0,0,,,,,,3245200,2559125,1400000,,,,,,.4682298,.3462391,.6779972,,,23180,26382.73196,31818.18182,,,0,0,0,,,140,97,44,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Welfare service aides","11",,0,,,0,,,,,,,,9290620,,,,,,,,.0283595,,,,,37766.74797,,,,,0,,,,,246,,,,,,,,,,,,,,7.27e+12,,,,,1209075,,,,,1.42e+08,,
"Garage and service station related occupations","61",,,0,0,,,,,1010000,2441500,1.13e+07,4361620,,,,,-.206917,-.7628599,-.2769113,-.3627658,,5050,7180.882353,16732.97325,23324.17112,,0,0,0,0,,200,340,673,187,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Managers of medicine and health occupations","42",,.0000761,,,.2227603,,,,,,,,1.12e+08,,,,,,,,1.276448,,,,,270007.2639,,,,,92,,,,,413,,,,,,,,,,,,,,7.27e+12,,,,,1209075,,,,,1.42e+08,,
"Statisticians","52",,,0,0,,,,,1.24e+07,3.88e+07,2.01e+08,,,,,,.0215253,.2602553,.3758945,,,6861.111111,14072.64493,30933.63681,,,0,0,16,,,1800,2760,6487,,,0,.0000144,,0,.0024665,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Office machine repairers and mechanics","72",,,0,0,,,,,,1021100,255670,,,,,,,.6155916,-.4546854,,,,12763.75,4408.103448,,,,0,0,,,,80,58,,,,0,,,0,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Washing, cleaning, and pickling machine operators","42",,,0,0,,,,,,1604800,2933493,5695450,,,,,,-.0637103,-.2134347,-.2939243,,,6172.307692,15199.4456,13790.43584,,,0,0,0,,,260,193,413,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Physics instructors","61",,,.0000215,.003876,,,,,1.77e+08,1.09e+08,1.47e+08,,,,,,-.0254586,-.2504113,-.1956074,,,13083.7037,21033.21705,42335.57871,,,400,20,14,,,13500,5160,3475,,,.0005475,.0000126,,.0296296,.0040288,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Textile cutting machine operators","53",,,,,,,,,,,,283800,,,,,,,,-.2407752,,,,,8600,,,,,0,,,,,33,,,,0,,,0,,,,,,,4.59e+12,,,,,1287406,,,,,1.24e+08,,,
"Chemical engineers","51",,,,,,,,,,,4058000,1.56e+07,,,,,,,.6193281,.8555412,,,,81160,95337.37805,,,,0,0,,,,50,164,,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,,,,1112210,1287406,,,,1.11e+08,1.24e+08,,,
"Nail and tacking machine operators  (woodworking)","61",,,,,,,,,,,,1482000,,,,,,,,.3473683,,,,,27444.44444,,,,,0,,,,,54,,,,0,,,0,,,,,,,4.59e+12,,,,,1287406,,,,,1.24e+08,,,
"Foresters and conservation scientists","48-49",,,,,,,,,1435000,,789000,,,,,,.7262114,,.3109493,,,14350,,21916.66667,,,0,,0,,,100,,36,,,0,0,,0,0,,,,,5.14e+11,,2.74e+12,,,730600,,1112210,,,7.32e+07,,1.11e+08,,,,
"Waiter's assistant","11",,,.0000215,1,,,,,,1500000,166919,1286400,,,,,,1.468148,-.6354408,.0850298,,,75000,4071.195122,38981.81818,,,20,0,0,,,20,41,33,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Financial services sales occupations","53",,0,,,0,,,,8805000,,,,3.61e+07,,,,.6276408,,,,.9929391,17610,,,,153638.2979,100,,,,0,500,,,,235,.0001369,,,.2,,,,,,5.14e+11,,,,7.27e+12,730600,,,,1209075,7.32e+07,,,,1.42e+08,,
"Occupational therapists","51",,,,,,,,,,,990,,,,,,,,-2.99804,,,,,165,,,,,0,,,,,6,,,,0,,,0,,,,,,,2.74e+12,,,,,1112210,,,,,1.11e+08,,,,
"Heat treating equipment operators","21",,,,,,,,,,,1070000,3270520,,,,,,,-.4560799,.3967304,,,,20188.67925,41929.74359,,,,0,0,,,,53,78,,,0,0,,0,0,,,,,,2.74e+12,4.59e+12,,,,1112210,1287406,,,,1.11e+08,1.24e+08,,,
"History instructors","62",,,0,0,,,,,,631800,,,,,,,,-.0638976,,,,,15795,,,,,0,,,,,40,,,,,,,,,,,,,,1.28e+12,,,,,928580,,,,,9.33e+07,,,,,
"Railroad conductors and yardmasters","51",,,0,0,,,,,,4283100,2331000,1386000,,,,,,.220575,.4827717,.6848409,,,17846.25,34791.04478,63000,,,0,0,0,,,240,67,22,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Railroad brake, coupler, and switch operators","42",,,0,0,,,,,805000,784300,3077384,154000,,,,,.2832651,.496877,.4434945,.3392389,,8050,19607.5,40491.89474,14000,,0,0,0,0,,100,40,76,11,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Drillers of earth","51",,,,,,,,,,,690000,,,,,,,,.8008264,,,,,30000,,,,,0,,,,,23,,,,0,,,0,,,,,,,2.74e+12,,,,,1112210,,,,,1.11e+08,,,,
"Farm workers","51",,,,,,,,,,,,5674200,,,,,,,,.0882864,,,,,39679.72028,,,,,0,,,,,143,,,,0,,,0,,,,,,,4.59e+12,,,,,1287406,,,,,1.24e+08,,,
"Drillers of earth","81",,,0,0,,,,,205000,9400,,,,,,,-.4691435,-2.89414,,,,2050,470,,,,0,0,,,,100,20,,,,0,,,0,,,,,,5.14e+11,1.28e+12,,,,730600,928580,,,,7.32e+07,9.33e+07,,,,,
"Physicians' assistants","52",,,0,0,,,,,,2337200,2114050,1.63e+07,,,,,,-.213496,-.401747,.1280501,,,14607.5,10570.25,29615.13612,,,0,0,0,,,160,200,551,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Drywall installers","71",,,0,0,,,,,,410200,1882700,2033200,,,,,,.4470831,.2821816,.127894,,,20510,26895.71429,35055.17241,,,0,0,0,,,20,70,58,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Other telecom operators","21",,,0,0,,,,,,574200,944320,4282600,,,,,,.828638,.4775969,.4653424,,,28710,21960.93023,45080,,,0,0,0,,,20,43,95,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Postmasters and mail superintendents","48-49",,,.0000862,.0027397,,,,,3.07e+08,5.65e+08,1.41e+09,1.65e+09,,,,,.1879714,.3091138,.4400138,.2854543,,9459.538462,19341.77055,37270.75901,45360.37855,,100,80,86,61,,32500,29200,37947,36365,,.0001369,.0000773,.0000474,.0030769,.0022663,.0016774,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Dentists","22",,,0,0,,,,,,181500,,,,,,,,.261905,,,,,9075,,,,,0,,,,,20,,,,,,,,,,,,,,1.28e+12,,,,,928580,,,,,9.33e+07,,,,,
"Social workers","48-49",,,0,0,,,,,935000,5190200,7989142,1.29e+07,,,,,.9277591,.2477495,.0437708,.3506908,,9350,17300.66667,23777.20833,51476,,0,0,0,0,,100,300,336,250,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Crushing and grinding machine operators","11",,,0,0,,,,,,1779700,1639927,,,,,,,-.2255351,-.4134825,,,,8089.545455,13225.21774,,,,0,0,,,,220,124,,,,0,,,0,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Paving, surfacing, and tamping equipment operators","53",,,0,0,,,,,2245000,2507800,5903562,,,,,,-.0902854,-.2895017,.2176325,,,3741.666667,9645.384615,36897.2625,,,0,0,8,,,600,260,160,,,0,7.19e-06,,0,.05,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Paperhangers","81",,,0,0,,,,,490000,705700,744120,,,,,,-1.010892,-.8280488,.621626,,,2450,7057,31005,,,0,0,0,,,200,100,24,,,0,0,,0,0,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Fire fighting, prevention, and inspection","53",,,0,0,,,,,,312300,8696799,2680960,,,,,,-.2892706,.2862855,.2808469,,,5205,33708.52326,27356.73469,,,0,0,0,,,60,258,98,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Funeral directors","51",,,0,0,,,,,,450200,670950,,,,,,,.0832621,-.5948783,,,,22510,26838,,,,0,0,,,,20,25,,,,0,,,0,,,,,,1.28e+12,2.74e+12,,,,928580,1112210,,,,9.33e+07,1.11e+08,,,,
"Helpers, constructions","72",,,0,0,,,,,,1709800,2212566,231000,,,,,,-.5478521,.4250937,-.8195674,,,9498.888889,44251.32,5634.146341,,,0,0,0,,,180,50,41,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Hand painting, coating, and decorating occupations","92",,,0,0,,,,,6695000,8492500,1.16e+07,,,,,,-.1335057,-.0188425,-.0926003,,,7438.888889,13269.53125,24757.93191,,,0,0,0,,,900,640,470,,,0,0,,0,0,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Other plant and system operators","81",,,0,0,,,,,,1009400,3683244,900800,,,,,,.1754411,.2821183,.341584,,,12617.5,27693.56391,27296.9697,,,0,0,0,,,80,133,33,,,0,0,,0,0,,,,,1.28e+12,2.74e+12,4.59e+12,,,928580,1112210,1287406,,,9.33e+07,1.11e+08,1.24e+08,,,
"Hand painting, coating, and decorating occupations","54",,,0,0,,,,,1.54e+07,4.05e+07,7.18e+07,,,,,,.0060869,-.1891578,-.1787594,,,7009.090909,13396.45695,23206.69606,,,0,0,52,,,2200,3020,3096,,,0,.0000468,,0,.0167959,,,,,5.14e+11,1.28e+12,2.74e+12,,,730600,928580,1112210,,,7.32e+07,9.33e+07,1.11e+08,,,,
"Editors and reporters","21",,,0,0,,,,,1940000,3528300,7581152,5832300,,,,,.4060875,.4234391,.4370269,.7353828,,9700,16037.72727,48287.59236,98852.54237,,0,0,0,0,,200,220,157,59,,0,0,0,0,0,0,,,,5.14e+11,1.28e+12,2.74e+12,4.59e+12,,730600,928580,1112210,1287406,,7.32e+07,9.33e+07,1.11e+08,1.24e+08,,,
"Tool and die makers and die setters","71",,,0,0,,,,,705000,375700,,,,,,,-.0063782,-.3964716,,,,7050,9392.5,,,,0,0,,,,100,40,,,,0,,,0,,,,,,5.14e+11,1.28e+12,,,,730600,928580,,,,7.32e+07,9.33e+07,,,,,
"Chief executives and public administrators","21",,.0018981,,,.269651,,,,,,,7.12e+08,2.03e+09,,,,,,,.7815562,1.040227,,,,140559.6247,238169.7182,,,,909.0001,2295,,,,5062,8511,,,.0007061,,,.1795733,,,,,,,4.59e+12,7.27e+12,,,,1287406,1209075,,,,1.24e+08,1.42e+08,,
